재해,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
산불,속초시장이 무슨... :: 네이버 뉴스,F,2,"학생 (초중고학생, 대학생, 대학원생)",900~999만원,아니오,          ,아파트/ 주상복합,인천,계양구,작전동,"스포츠 (제네시스 쿠페, BMW M, 벤츠 AMG 등)"
산불,속초시장이 무슨... :: 네이버 뉴스,F,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,아파트/ 주상복합,강원,동해시,효가동,"소형SUV/CUV (티볼리, QM3 등)"
산사태,"폭염,호우,수난사고,산사태,추락사고,화학물사고중점관리",M,2,"학생 (초중고학생, 대학생, 대학원생)",900~999만원,아니오,          ,아파트/ 주상복합,서울,서초구,서초2동,
산불,속초시장이 무슨... :: 네이버 뉴스,F,3,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,천안시 서북구,두정동,
산불,속초시장이 무슨... :: 네이버 뉴스,F,3,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,천안시 서북구,두정동,
산림재해,"파주시,해빙기산림재해우려지역안전점검실시!",M,4,,,      ,          ,,경북,칠곡군,석적읍,
산사태,태풍및집중호우시산사태대비국민행동요령,F,4,"전문직 (의사, 판검사, 예술가, 종교인)",700~799만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,강남구,논현2동,
산사태,"청주폭우290mm물폭탄산사태홍수주의보…침수피해속출,무심천아찔",M,4,무직,100만원 미만,아니오,          ,아파트/ 주상복합,서울,구로구,개봉2동,
산사태,태풍링링오는데속살드러낸용인석성산…산사태공포,F,2,무직,200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,강원,춘천시,후평2동,
산불,속초시장이 무슨... :: 네이버 뉴스,M,2,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,오피스텔,서울,은평구,불광동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산불,18억 소방차 안 부러운 맹활약..우리동네 산불조심차 | 다음 뉴스,F,3,기타 ,300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,남구,용현5동,
산사태,태풍링링오는데속살드러낸용인석성산…산사태공포,F,2,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 없음 ,아파트/ 주상복합,충북,진천군,덕산면,기타 (승합차/트럭/화물차/기타 차량 등)
산사태,태풍링링오는데속살드러낸용인석성산…산사태공포,M,4,,,      ,          ,,경기,부천시 오정구,원종1동,
산사태,"청주폭우290mm물폭탄산사태홍수주의보…침수피해속출,무심천아찔",F,4,,,      ,          ,,서울,도봉구,도봉1동,
산불,"크라운해태, 강원... :: 네이버 뉴스",F,3,,,      ,          ,,서울,관악구,신림동,
산사태,"청주폭우290mm물폭탄산사태홍수주의보…침수피해속출,무심천아찔",M,3,,,      ,          ,,대전,유성구,신봉동,
산림재해,"울릉군,산림재해일자리안전교육실시",M,3,,,      ,          ,,서울,관악구,대학동,
산사태,"폭염,호우,수난사고,산사태,추락사고,화학물사고중점관리",F,2,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,아파트/ 주상복합,경기,김포시,풍무동,
산사태,"폭염,호우,수난사고,산사태,추락사고,화학물사고중점관리",M,2,"자영업 (도소매업, 숙박업, 미용업)",600~699만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,부천시 오정구,원종1동,
