체험,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
숲체험프로그램,"부산시,‘생애주기별숲체험프로그램’운영",F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 없음 ,아파트/ 주상복합,서울,은평구,진관동,
숲체험프로그램,예약안내및숲체험프로그램후기,F,2,,,      ,          ,,부산,사상구,덕포2동,
숲체험교육확동,산림복지취약계충에게숲체험교육운영,F,3,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,부천시 소사구,심곡본동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
숲체험교육확동,2018년학술림숲체험교육,F,4,,,      ,          ,,경남,김해시,삼계동,
산림복합체험프로그램,산림복합체험센터와자생식물원,F,2,,,      ,          ,,서울,노원구,공릉2동,
숲체험프로그램,대전주말숲체험프로그램-행복한숲체험♩,F,3,,,      ,          ,,서울,영등포구,문래동2가,
숲체험프로그램,"아이랑갈만한곳,양평쉬자파크유아숲체험프로그램",M,3,,,      ,          ,,대구,북구,태전1동,
숲체험교육확동,"아산교육지원청,초등학생대상숲체험교육운영",F,3,,,      ,          ,,서울,마포구,공덕동,
숲체험교육확동,작은손마켓놀이숲체험유치원즐거워요,F,4,,,      ,          ,,서울,마포구,신수동,
숲체험프로그램,초등딸1학기트레킹숲체험프로그램을마쳤어요,F,5,,,      ,          ,,경기,고양시 덕양구,행신3동,
산림체험프로그램,장령산자연휴양림치유의숲산림치유염색체험프로그램안내,F,3,,,      ,          ,,강원,원주시,봉산동,
숲체험프로그램,"서울준법지원센터,보호관찰청소년‘숲체험프로그램’실시",M,4,,,      ,          ,,서울,서대문구,남가좌1동,
숲체험프로그램,대전주말숲체험프로그램-행복한숲체험♩,F,3,"교직 (교사, 유치원교사, 학원강사)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,대구,남구,봉덕1동,
숲체험프로그램,"부산시,‘생애주기별숲체험프로그램’운영",M,2,,,      ,          ,,충북,청주시 흥덕구,사창동,
숲체험교육확동,"초등학교3학년환경교육,숲체험~경남환경교육원자연환경해설사활동/청아생태농장/경남체험학습/사천사남초등학교",F,2,,,      ,          ,,경기,용인시 수지구,죽전동,
숲체험프로그램,민토리숲학교힐링숲체험프로그램MidsummerCandleNightatMintoryForest,F,4,,,      ,          ,,경기,광주시,태전동,
숲체험프로그램,삼선산수목원숲체험프로그램<우리동네수목원여행>,F,3,"판매직 (상점점원, 보험설계사, 노점상)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,강서구,개화동,
숲체험교육확동,[동암/꼬마성어린이집]의교육활동:숲체험을소개합니다,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,강서구,화곡3동,
숲체험교육확동,[동암/꼬마성어린이집]의교육활동:숲체험을소개합니다,F,3,"학생 (초중고학생, 대학생, 대학원생)",500~599만원,아니오,          ,오피스텔,서울,영등포구,영등포동8가,
숲체험교육확동,2018년학술림숲체험교육,F,5,,,      ,          ,,서울,노원구,상계1동,
산림체험프로그램,맑은누리청소년방과후아카데미10월주말체험프로그램:산림문화체험-숲의가을을만들다.,F,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,오피스텔,서울,영등포구,영등포동8가,
숲체험교육확동,작은손마켓놀이숲체험유치원즐거워요,F,3,"교직 (교사, 유치원교사, 학원강사)",400~499만원,예    ,자녀 없음 ,아파트/ 주상복합,부산,부산진구,개금3동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체험교육확동,산림복지취약계충에게숲체험교육운영,F,3,,,      ,          ,,서울,용산구,한남동,
숲체험프로그램,도심속행복한부산시민공원숲체험프로그램으로출발,F,2,무직,200~299만원,아니오,          ,아파트/ 주상복합,서울,서초구,신원동,
산림체험프로그램,맑은누리청소년방과후아카데미10월주말체험프로그램:산림문화체험-숲의가을을만들다.,F,4,"전문직 (의사, 판검사, 예술가, 종교인)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,강동구,천호1동,
숲체험교육확동,"유아숲체험도함께,국립칠곡숲체원",F,3,"관리직 (사장, 간부, 고위공무원)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,대전,서구,괴정동,
숲체험프로그램,민토리숲학교힐링숲체험프로그램MidsummerCandleNightatMintoryForest,M,3,,,      ,          ,,충북,청주시 상당구,서운동,
숲체험프로그램,"아이랑갈만한곳,양평쉬자파크유아숲체험프로그램",M,3,,,      ,          ,,충북,청주시 상당구,서운동,
숲체험프로그램,"아이랑갈만한곳,양평쉬자파크유아숲체험프로그램",F,2,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,광진구,중곡4동,
산림체험프로그램,장령산자연휴양림치유의숲산림치유염색체험프로그램안내,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,수원시 팔달구,화서동,
숲체험프로그램,도심속행복한부산시민공원숲체험프로그램으로출발,F,3,,,      ,          ,,대전,중구,선화동,
숲체험프로그램,삼선산수목원숲체험프로그램<우리동네수목원여행>,F,3,,,      ,          ,,대전,중구,선화동,
숲체험교육확동,"아산교육지원청,초등학생대상숲체험교육운영",M,3,"자영업 (도소매업, 숙박업, 미용업)",100~199만원,아니오,          ,아파트/ 주상복합,충북,제천시,화산동,"경차 (모닝, 스파크 등)"
숲체험교육확동,[봉화]힐빙스테이4기/봉화가족체험프로그램/봉화춘양목숲힐빙프로그램/봉화가족캠프/춘양목숲체험교육/봉화힐빙스테이,F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,대구,달성군,다사읍,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체험프로그램,핸드폰OFF숲체험ON-청소년힐링숲체험프로그램(자원봉사시간인정),F,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,동래구,명륜동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
