재해,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
병해충,"2019고추농사작황,시세,면적,병해충,올해느낀점",M,5,기타 ,300~399만원,예    ,자녀 있음 ,단독주택,경남,창원시 마산회원구,회성동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림재해,생태산림재해방지위한경진대회,F,2,,,      ,          ,,경기,평택시,진위면,
산림재해,국내사례-한국산림청SuperMap을활용한산림재해관리체계시스템,F,2,,,      ,          ,,서울,성북구,하월곡동,
병해충,양파병해충예방과방제시기방법,M,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,마포구,상암동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
병해충,들깨의병해충,F,4,,,      ,          ,,강원,원주시,명륜1동,
산림재해,"화순군,해빙기산림재해취약시설일제점검",F,2,,,      ,          ,,서울,노원구,월계1동,
산사태,"삼척시,산사태발생위험지통합관리체계구축&#160;-포커스데일리",F,4,,,      ,          ,,서울,노원구,공릉동,
산사태,"폭염,호우,수난사고,산사태,추락사고,화학물사고중점관리",M,2,,,      ,          ,,인천,연수구,송도동,
산사태,청도태양광산사태/조선일보,M,4,,,      ,          ,,서울,구로구,구로5동,
산사태,의령수도사산사태로매몰위험노출/뉴스렙기사,F,3,기타 ,200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,화성시,봉담읍,"준중형파생 (벨로스터, I30 등)"
산사태,"부산엄궁동산사태*승학산산사태우려*사하구,사상구엄궁동도로정체*",F,2,"자영업 (도소매업, 숙박업, 미용업)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,전남,여수시,신기동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산사태,연천군청고대산자연휴양림산사태예방무선방송기기설치,F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경남,창원시 마산합포구,해운동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산사태,생명재산앗아가는산사태를막아라,M,4,"전문직 (의사, 판검사, 예술가, 종교인)",500~599만원,예    ,자녀 있음 ,단독주택,부산,부산진구,초읍동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림재해,"파주시,해빙기산림재해우려지역안전점검실시!",M,4,,,      ,          ,,경기,의왕시,오전동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
병해충,건강에좋은까마중(때까리)소개및병해충재배방법,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,은평구,역촌동,"경차 (모닝, 스파크 등)"
병해충,병해충강한식물토양미생물덕분,M,3,"전문직 (의사, 판검사, 예술가, 종교인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,강원,원주시,일산동,"경차 (모닝, 스파크 등)"
병해충,[텃밭중수]식초를이용한병해충관리,M,4,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,고양시 덕양구,내유동,기타 (승합차/트럭/화물차/기타 차량 등)
산림재해,"[산림청]진천산림항공관리소,산림재해꼼짝마무인감시카메라로예방",M,5,,,      ,          ,,서울,강동구,천호2동,
산림재해,"순천국유림관리소,장마철대비산림재해예방사업적기완료",M,3,,,      ,          ,,경북,영주시,풍기읍,
병해충,유기농부병해충예방,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경남,양산시,삼호동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
병해충,병해충피해없는건강한과수묘목고르세요,M,4,,,      ,          ,,인천,연수구,송도동,
병해충,춥다고방심은금물!::겨울철시설작물주요병해충방제법!,M,4,,,      ,          ,,서울,강남구,개포1동,
산림재해,산악기상관측망…산림재해예측정밀도높인다,M,3,,,      ,          ,,울산,북구,상안동,
산림재해,"충북도144억원투입,산림재해걱정뚝",F,3,,,      ,          ,,서울,서초구,방배동,
병해충,상추에발생하는병해충의모든것,M,3,,,      ,          ,,경기,안양시 동안구,범계동,
병해충,참깨병해충방제와관리,M,5,기타 ,400~499만원,예    ,자녀 있음 ,단독주택,경기,하남시,신장동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산사태,연천군청고대산자연휴양림산사태예방무선방송기기설치,M,2,"학생 (초중고학생, 대학생, 대학원생)","1,000만원 이상",아니오,          ,아파트/ 주상복합,서울,송파구,문정동,
산림재해,"산림재해예방을위한하늘의눈,강릉산림항공관리소드론산불예방훈련실시",F,4,"사무직 (일반사무직, 공무원, 직업군인)",900~999만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,연수구,송도동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산림재해,국내사례-한국산림청SuperMap을활용한산림재해관리체계시스템,M,5,"전문직 (의사, 판검사, 예술가, 종교인)",300~399만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,평택시,팽성읍,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
병해충,병해충강한식물토양미생물덕분,M,5,"서비스직 (요식업, 숙박업, 미용실종업원)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,성남시 분당구,판교동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산사태,부산산사태현장서26시간만에3번째매몰자발견,M,3,,,      ,          ,,경남,통영시,광도면,
산사태,"[6월안전보건]알면대처할수있다!갑작스러운재해,산사태",M,2,,,      ,          ,,부산,동구,범일2동,
산사태,태풍링링오는데속살드러낸용인석성산…산사태공포,M,5,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,시흥시,정왕동,
산사태,산사태현장예방단의구성및운영에관한지침개정(안)행정예고,F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,시흥시,신천동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산림재해,"[산림청]진천산림항공관리소,산림재해꼼짝마무인감시카메라로예방",F,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,광명시,소하1동,기타 (승합차/트럭/화물차/기타 차량 등)
산림재해,세계4위산림국가인데…잦은산불에도산림재해보험유명무실,F,3,"교직 (교사, 유치원교사, 학원강사)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,안산시 단원구,신길동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
병해충,병해충강한식물토양미생물덕분,M,5,무직,200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경북,구미시,산동면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
병해충,병해충강한식물토양미생물덕분,F,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,단독주택,서울,강북구,번1동,
산림재해,충청북도산림재해걱정뚝!,M,3,기타 ,300~399만원,아니오,          ,아파트/ 주상복합,울산,북구,화봉동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
병해충,"2019고추농사작황,시세,면적,병해충,올해느낀점",F,2,,,      ,          ,,대구,남구,대명2동,
병해충,[텃밭중수]식초를이용한병해충관리,F,3,,,      ,          ,,경기,안양시 동안구,관양동,
산림재해,"계룡시,여름철산림재해선제적대응",F,4,,,      ,          ,,강원,원주시,명륜1동,
병해충,[공지]3.병해충관리는어떻게할까?,M,4,,,      ,          ,,대구,중구,동성로3가,
산사태,연천군청고대산자연휴양림산사태예방무선방송기기설치,F,3,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,고양시 일산동구,정발산동,
산사태,생명재산앗아가는산사태를막아라,F,4,,,      ,          ,,대전,대덕구,와동,
병해충,병해충강한식물토양미생물덕분,F,4,,,      ,          ,,서울,양천구,신정동,
산림재해,[단양국유림관리소]여름철우기산림재해대비에총력!,F,4,,,      ,          ,,충북,청원군,부용면,
산사태,"여주시,산림재해예방을위한산사태취약지역지정",M,4,,,      ,          ,,서울,강동구,암사1동,
산림재해,"산림재해예방을위한하늘의눈,강릉산림항공관리소드론산불예방훈련실시",F,2,,,      ,          ,,서울,강남구,논현1동,
병해충,"2019고추농사작황,시세,면적,병해충,올해느낀점",F,5,,,      ,          ,,서울,강남구,개포1동,
산사태,생명재산앗아가는산사태를막아라,F,5,"주부 (전업주부, 파트타임 근무 주부)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,노원구,월계2동,
산림재해,여름철산림재해예방을위한산사태대책상황실가동!,M,2,,,      ,          ,,광주,동구,학동,
산사태,의령수도사산사태로매몰위험노출/뉴스렙기사,F,4,"자영업 (도소매업, 숙박업, 미용업)",700~799만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,경기,광주시,중대동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산사태,"산사태,긴급복구현장",M,5,"주부 (전업주부, 파트타임 근무 주부)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 기흥구,구갈동,
병해충,병해충피해없는건강한과수묘목고르세요,M,2,"학생 (초중고학생, 대학생, 대학원생)","1,000만원 이상",아니오,          ,아파트/ 주상복합,경기,부천시 원미구,상동,
산림재해,"여주시,산림재해예방…산사태취약지역추가지정관리",F,2,"서비스직 (요식업, 숙박업, 미용실종업원)",400~499만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,경기,파주시,금촌1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
병해충,[공지]3.병해충관리는어떻게할까?,M,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,서구,가정동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림재해,"울릉군,산림재해일자리안전교육실시",M,5,"관리직 (사장, 간부, 고위공무원)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,마포구,상암동,"스포츠 (제네시스 쿠페, BMW M, 벤츠 AMG 등)"
산림재해,"강서구,장마철대비산림재해예방",M,3,,,      ,          ,,인천,중구,운서동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산림재해,"계룡시,여름철산림재해선제적대응",M,3,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 없음 ,오피스텔,서울,강서구,가양1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
