행정구역별(시군구),연령별,내국인(15세이상)-계,내국인-미혼,내국인-배우자있음,내국인-사별,내국인-이혼,남자(15세이상)-계,남자-미혼,남자-배우자있음,남자-사별,남자-이혼,여자(15세이상)-계,여자-미혼,여자-배우자있음,여자-사별,여자-이혼
세종특별자치시,35~39세,34059,5384,27758,44,873,16575,3269,12995,24,287,17484,2115,14763,20,586
세종특별자치시,40~44세,34653,3743,29500,109,1301,17166,2273,14361,30,502,17487,1470,15139,79,799
세종특별자치시,45~49세,30954,2770,26076,222,1886,16289,1682,13808,52,747,14665,1088,12268,170,1139
세종특별자치시,50~54세,23571,1397,19607,382,2185,12309,822,10482,88,917,11262,575,9125,294,1268
세종특별자치시,55~59세,19732,909,16506,651,1666,10139,594,8696,114,735,9593,315,7810,537,931
세종특별자치시,60~64세,17117,512,14152,1192,1261,8519,298,7485,168,568,8598,214,6667,1024,693
세종특별자치시,65~69세,11539,266,9244,1313,716,5651,156,5046,151,298,5888,110,4198,1162,418
세종특별자치시,70~74세,7878,56,5843,1559,420,3806,28,3365,170,243,4072,28,2478,1389,177
세종특별자치시,75~79세,5857,53,3633,1975,196,2524,27,2140,257,100,3333,26,1493,1718,96
세종특별자치시,80~84세,4168,35,2042,2045,46,1554,7,1273,251,23,2614,28,769,1794,23
세종특별자치시,85세이상,3342,20,888,2402,32,912,1,540,361,10,2430,19,348,2041,22
경기도,합계,11164024,3488742,6369327,640929,665026,5585414,2003564,3189894,97325,294631,5578610,1485178,3179433,543604,370395
경기도,15~19세,648335,648069,243,1,22,332871,332826,29,1,15,315464,315243,214,-,7
경기도,20~24세,808894,798013,9502,395,984,421169,417701,2623,357,488,387725,380312,6879,38,496
경기도,25~29세,904805,784169,114523,984,5129,481163,441685,36462,877,2139,423642,342484,78061,107,2990
경기도,30~34세,824564,437565,373368,1143,12488,429201,271549,152532,741,4379,395363,166016,220836,402,8109
경기도,35~39세,1007461,275914,698617,2243,30687,516508,178001,325570,917,12020,490953,97913,373047,1326,18667
경기도,40~44세,1054406,190671,803901,4757,55077,535882,126659,385352,1545,22326,518524,64012,418549,3212,32751
경기도,45~49세,1148173,150721,885517,11407,100528,581446,103326,434099,2923,41098,566727,47395,451418,8484,59430
경기도,50~54세,1119026,94015,871771,23892,129348,560315,66882,431493,5728,56212,558711,27133,440278,18164,73136
경기도,55~59세,1033958,51562,817830,40257,124309,524219,36118,423507,7509,57085,509739,15444,394323,32748,67224
경기도,60~64세,888503,29228,693447,64695,101133,445476,17441,370092,10863,47080,443027,11787,323355,53832,54053
경기도,65~69세,579930,13505,438192,72346,55887,282391,6857,237617,10888,27029,297539,6648,200575,61458,28858
경기도,70~74세,420576,6423,299211,86524,28418,197002,2672,167756,12252,14322,223574,3751,131455,74272,14096
경기도,75~79세,328604,3606,202261,108863,13874,142275,1109,119936,14137,7093,186329,2497,82325,94726,6781
경기도,80~84세,228357,2309,111518,109334,5196,87649,471,69918,14710,2550,140708,1838,41600,94624,2646
경기도,85세이상,168432,2972,49426,114088,1946,47847,267,32908,13877,795,120585,2705,16518,100211,1151
강원도,합계,1329157,359283,764420,124877,80577,668564,219412,388274,19534,41344,660593,139871,376146,105343,39233
강원도,15~19세,72366,72308,57,-,1,38340,38332,7,-,1,34026,33976,50,-,-
강원도,20~24세,95232,91785,2466,461,520,53877,52051,987,406,433,41355,39734,1479,55,87
강원도,25~29세,84339,65810,16292,834,1403,48375,40287,6354,771,963,35964,25523,9938,63,440
강원도,30~34세,72513,36008,34679,295,1531,39128,23401,14824,231,672,33385,12607,19855,64,859
